name,scn_name,bus,carrier,p_nom,p_min_pu,p_max_pu,marginal_cost,efficiency,committable,start_up_cost,min_up_time,min_down_time,up_time_before,ramp_limit_start_up,ramp_limit_shut_down,e_nom_max,control,ramp_limit_up,weight,p_nom_opt
0 biomass,eGon2035,4,biomass,135.2515057453517,0.0,1.0,42.10779290094284,1.0,False,0.0,0,0,0,1.0,1.0,inf,Slack,,135.2515057453517,135.2515057453517
0 central_biomass_CHP,eGon2035,4,central_biomass_CHP,148.23816570559774,0.0,0.9999999999999999,42.10941043327023,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,148.23816570559774,148.23816570559774
0 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,616.1671166106055,0.0,1.0,42.10735196376193,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,616.1671166106055,616.1671166106055
0 load shedding,,4,load shedding,93901305.6690337,0.0,1.0,10000.007914738964,1.0,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,93901305.6690337,93901305.6690337
0 others,eGon2035,4,others,50.025743037678446,0.0,1.0,0.009255505199756896,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,50.025743037678446,50.025743037678446
0 reservoir,eGon2035,4,reservoir,162.67852088078098,0.0,0.6500000000000001,0.007605829011294858,1.0000000000000002,False,0.0,0,0,0,1.0,1.0,inf,PV,,162.67852088078098,162.67852088078098
0 run_of_river,eGon2035,4,run_of_river,49.45791910531347,0.0,0.65,0.008614327531235583,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,49.45791910531347,49.45791910531347
0 solar,eGon2035,4,solar,1240.7979164698352,0.0,0.9999999999999998,0.018057292207923153,0.9999999999999998,False,0.0,0,0,0,1.0,1.0,inf,PV,,1240.7979164698352,1240.7979164698352
0 solar_rooftop,eGon2035,4,solar_rooftop,5972.748220246721,0.0,1.0,0.018598223484636543,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,5972.748220246721,5972.748220246721
0 wind_offshore,eGon2035,4,wind_offshore,4000.0,0.0,1.0,2.5681327177381137,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,4000.0,4000.0
0 wind_onshore,eGon2035,4,wind_onshore,8607.26830479213,0.0,1.0000000000000002,1.3086163901944117,1.0000000000000002,False,0.0,0,0,0,1.0,1.0,inf,PV,,8607.26830479213,8607.26830479213
1 biomass,eGon2035,4,biomass,54.49203950130611,0.0,0.9999999999999998,42.109358731127806,0.9999999999999998,False,0.0,0,0,0,1.0,1.0,inf,PV,,54.49203950130611,54.49203950130611
1 central_biomass_CHP,eGon2035,4,central_biomass_CHP,47.00997510664255,0.0,0.9999999999999999,42.108264986903585,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,47.00997510664255,47.00997510664255
1 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,314.8549356319386,0.0,1.0,42.10842103445987,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,314.8549356319386,314.8549356319386
1 load shedding,,4,load shedding,62050997.93534795,0.0,1.0,10000.007907413657,1.0,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,62050997.93534795,62050997.93534795
1 others,eGon2035,4,others,12.965762257350994,0.0,1.0000000000000002,0.002621081671213398,1.0000000000000002,False,0.0,0,0,0,1.0,1.0,inf,PV,,12.965762257350994,12.965762257350994
1 reservoir,eGon2035,4,reservoir,3.9381559248030067,0.0,0.6500000000000001,0.008856884406141505,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,3.9381559248030067,3.9381559248030067
1 run_of_river,eGon2035,4,run_of_river,56.36272818028936,0.0,0.65,0.009384713347251621,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,56.36272818028936,56.36272818028936
1 solar,eGon2035,4,solar,3846.23856630648,0.0,1.0,0.01769028272765792,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,3846.23856630648,3846.23856630648
1 solar_rooftop,eGon2035,4,solar_rooftop,3569.4645116890815,0.0,1.0,0.01732252276214324,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,3569.4645116890815,3569.4645116890815
