name,scn_name,bus,carrier,p_set
0 AC,eGon2035,0,AC,0.0
1 AC,eGon2035,1,AC,0.0
10 AC,eGon2035,10,AC,0.0
11 AC,eGon2035,11,AC,0.0
12 AC,eGon2035,12,AC,0.0
13 AC,eGon2035,13,AC,0.0
14 AC,eGon2035,14,AC,0.0
15 AC,eGon2035,15,AC,0.0
2 AC,eGon2035,2,AC,0.0
3 AC,eGon2035,3,AC,0.0
4 AC,eGon2035,4,AC,0.0
43775 AC,eGon2035,43775,AC,0.0
43775 H2_for_industry,eGon2035,43775,H2_for_industry,415.02148427083335
43776 AC,eGon2035,43776,AC,0.0
43776 H2_for_industry,eGon2035,43776,H2_for_industry,1598.13083625
43777 AC,eGon2035,43777,AC,0.0
43778 AC,eGon2035,43778,AC,0.0
43778 H2_for_industry,eGon2035,43778,H2_for_industry,517.5741359166666
43779 AC,eGon2035,43779,AC,0.0
43779 H2_for_industry,eGon2035,43779,H2_for_industry,764.9263341666666
43780 AC,eGon2035,43780,AC,0.0
43780 H2_for_industry,eGon2035,43780,H2_for_industry,764.9263341666666
43781 AC,eGon2035,43781,AC,0.0
43781 H2_for_industry,eGon2035,43781,H2_for_industry,1651.7463891666666
43782 AC,eGon2035,43782,AC,0.0
43782 H2_for_industry,eGon2035,43782,H2_for_industry,863.4360502083332
43783 AC,eGon2035,43783,AC,0.0
43783 H2_for_industry,eGon2035,43783,H2_for_industry,863.4360502083332
43784 AC,eGon2035,43784,AC,0.0
43785 AC,eGon2035,43785,AC,0.0
43785 H2_for_industry,eGon2035,43785,H2_for_industry,1694.1099472916665
43786 AC,eGon2035,43786,AC,0.0
43787 AC,eGon2035,43787,AC,0.0
43787 H2_for_industry,eGon2035,43787,H2_for_industry,609.9109516041666
43788 AC,eGon2035,43788,AC,0.0
43788 H2_for_industry,eGon2035,43788,H2_for_industry,1201.6882454166666
48639 CH4,eGon2035,48639,CH4,0.0
48640 CH4,eGon2035,48640,CH4,0.0
48641 CH4,eGon2035,48641,CH4,0.0
48642 CH4,eGon2035,48642,CH4,0.0
48643 CH4,eGon2035,48643,CH4,0.0
48644 CH4,eGon2035,48644,CH4,0.0
48645 CH4,eGon2035,48645,CH4,0.0
48646 CH4,eGon2035,48646,CH4,0.0
48647 CH4,eGon2035,48647,CH4,0.0
48648 CH4,eGon2035,48648,CH4,0.0
48649 CH4,eGon2035,48649,CH4,0.0
48650 CH4,eGon2035,48650,CH4,0.0
5 AC,eGon2035,5,AC,0.0
50808 central_heat,eGon2035,50808,central_heat,0.0
50920 central_heat,eGon2035,50920,central_heat,0.0
51841 central_heat,eGon2035,51841,central_heat,0.0
52040 rural_heat,eGon2035,52040,rural_heat,0.0
52041 rural_heat,eGon2035,52041,rural_heat,0.0
52042 rural_heat,eGon2035,52042,rural_heat,0.0
52043 rural_heat,eGon2035,52043,rural_heat,0.0
52044 rural_heat,eGon2035,52044,rural_heat,0.0
52052 rural_heat,eGon2035,52052,rural_heat,0.0
52053 rural_heat,eGon2035,52053,rural_heat,0.0
52055 rural_heat,eGon2035,52055,rural_heat,0.0
52058 rural_heat,eGon2035,52058,rural_heat,0.0
52059 rural_heat,eGon2035,52059,rural_heat,0.0
52061 rural_heat,eGon2035,52061,rural_heat,0.0
52064 rural_heat,eGon2035,52064,rural_heat,0.0
52069 rural_heat,eGon2035,52069,rural_heat,0.0
52074 rural_heat,eGon2035,52074,rural_heat,0.0
52084 rural_heat,eGon2035,52084,rural_heat,0.0
52086 rural_heat,eGon2035,52086,rural_heat,0.0
6 AC,eGon2035,6,AC,0.0
69914 land_transport_EV,eGon2035,69914,land_transport_EV,0.0
69915 land_transport_EV,eGon2035,69915,land_transport_EV,0.0
69920 land_transport_EV,eGon2035,69920,land_transport_EV,0.0
69924 land_transport_EV,eGon2035,69924,land_transport_EV,0.0
69925 land_transport_EV,eGon2035,69925,land_transport_EV,0.0
69929 land_transport_EV,eGon2035,69929,land_transport_EV,0.0
69931 land_transport_EV,eGon2035,69931,land_transport_EV,0.0
69958 land_transport_EV,eGon2035,69958,land_transport_EV,0.0
7 AC,eGon2035,7,AC,0.0
70054 land_transport_EV,eGon2035,70054,land_transport_EV,0.0
70058 land_transport_EV,eGon2035,70058,land_transport_EV,0.0
70154 land_transport_EV,eGon2035,70154,land_transport_EV,0.0
70292 land_transport_EV,eGon2035,70292,land_transport_EV,0.0
70304 land_transport_EV,eGon2035,70304,land_transport_EV,0.0
70310 land_transport_EV,eGon2035,70310,land_transport_EV,0.0
70512 land_transport_EV,eGon2035,70512,land_transport_EV,0.0
70797 land_transport_EV,eGon2035,70797,land_transport_EV,0.0
70798 CH4_for_industry,eGon2035,70798,CH4_for_industry,0.0
70798 rural_gas_boiler,eGon2035,70798,rural_gas_boiler,0.0
70812 H2_for_industry,eGon2035,70812,H2_for_industry,0.0
70812 H2_hgv_load,eGon2035,70812,H2_hgv_load,0.0
70813 central_heat,eGon2035,70813,central_heat,0.0
70814 central_heat,eGon2035,70814,central_heat,0.0
70815 central_heat,eGon2035,70815,central_heat,0.0
70816 central_heat,eGon2035,70816,central_heat,0.0
70817 central_heat,eGon2035,70817,central_heat,0.0
70818 central_heat,eGon2035,70818,central_heat,0.0
70819 central_heat,eGon2035,70819,central_heat,0.0
70820 central_heat,eGon2035,70820,central_heat,0.0
70821 central_heat,eGon2035,70821,central_heat,0.0
70822 central_heat,eGon2035,70822,central_heat,0.0
70824 central_heat,eGon2035,70824,central_heat,0.0
70826 central_heat,eGon2035,70826,central_heat,0.0
70827 central_heat,eGon2035,70827,central_heat,0.0
70828 central_heat,eGon2035,70828,central_heat,0.0
70829 central_heat,eGon2035,70829,central_heat,0.0
70830 central_heat,eGon2035,70830,central_heat,0.0
70831 central_heat,eGon2035,70831,central_heat,0.0
70832 central_heat,eGon2035,70832,central_heat,0.0
8 AC,eGon2035,8,AC,0.0
9 AC,eGon2035,9,AC,0.0
